player_id,rally_id,type,timestamp,ball_pos,ball_vel_out,ball_spin_out
Elite A,/game_0/rally_0/event1,shot_p2,29.03,[ 1.82956839 -0.45609742  0.25450805],[-5.73012773  1.04166943 -0.5737637 ],[ -76.13009986   84.66006598 -213.75973523]
Elite A,/game_0/rally_0/event2,bounce_p2,29.215,[ 0.85414135 -0.23702946  0.01713298],[-4.10968873  1.33167064  1.82470505],[ -68.40530475   26.40244034 -212.59858184]
Elite A,/game_0/rally_0/event3,bounce_p1,29.604,[-0.56143302  0.29595581  0.01835844],[-2.38417026  1.35224037  1.6554156 ],[ -66.59827742  -28.59586919 -207.48339412]
Elite A,/game_0/rally_0/event4,shot_p1,29.774,[-0.95002604  0.52367294  0.17723618],[ 4.45621358 -1.09323839  1.47517305],[-126.9959053   -68.80667335   63.21817717]
Elite A,/game_0/rally_0/event5,bounce_p2,30.204,[0.73184371 0.22522353 0.01678963],[2.72879724 0.02661499 1.9900108 ],[-90.62384342  -8.69344248  61.35577023]
Elite A,/game_0/rally_0/event6,shot_p2,30.579,[1.67090893 0.27927014 0.09679185],[-8.20367416 -2.04930636  2.83363835],[  60.45293064 -654.7667045   125.30364019]
Elite A,/game_0/rally_0/event7,bounce_p1,30.979,[-1.01752424 -0.4876641   0.02167311],[-6.16539812 -1.7443329   2.61141876],[  83.65795419 -594.50371632  106.94099287]
Elite A,/game_0/rally_0/event8,shot_p1,31.138,[-1.90843805 -0.75101537  0.26129552],[ 7.12935597  1.22464089 -0.18742957],[-34.29258573 259.83569425  50.67106833]
Elite A,/game_0/rally_1/event1,shot_p2,48.733,[ 1.79036307 -0.5633263   0.17100325],[-8.01170708  1.90775836 -1.48471023],[ -57.19539517    3.72302743 -265.3736703 ]
Elite A,/game_0/rally_1/event2,bounce_p2,48.819,[ 1.13212919 -0.39637712  0.01730966],[-6.49839232  2.00921315  1.9394312 ],[ -62.56474572  -33.82862922 -245.68993742]
Elite A,/game_0/rally_1/event3,bounce_p1,49.2,[-0.93411356  0.39043346  0.01768908],[-3.63324606  1.89229729  1.74184731],[ -66.20418187  -89.70024263 -244.9994601 ]
Elite A,/game_0/rally_1/event4,shot_p1,49.34,[-1.417184    0.65675712  0.17661887],[ 7.18037429 -3.07514778  2.02208359],[ 36.42428485 257.93847272 105.67893248]
Elite A,/game_0/rally_1/event5,bounce_p2,49.729,[ 0.92885286 -0.2255726   0.02145732],[ 4.8813558  -1.31576901  2.40141597],[ 67.23081133 251.22380563 103.25544043]
Elite A,/game_0/rally_1/event6,shot_p2,49.915,[ 1.77475905 -0.44782516  0.27278697],[-11.0946834    1.95498183   1.25981033],[ -97.95021248 -494.2773979   149.15943163]
